Barbed Devil;Medium fiend (devil);lawful evil;15;natural armor;110;13d8+52;30 ft.;16;17;18;12;14;14;Str +6, Con +7, Wis +5, Cha +5;Deception +5, Insight +5, Perception +8;cold, bludgeoning, piercing, and slashing from non magical weapons that aren't silvered;fire, poison;poisoned;darkvision 120ft., passive Perception 18;Infernal , telepathy 120ft.;5;1800;<b>Multiattack.</b> The devil makes three melee attacks: one with its tail and two with its claws. Alternatively, it can use Hurl Flame twice.;"<b>Claw.</b> <i>Melee Weapon Attack: </i> +6 to hit, reach 5 ft ., one target. <i>Hit:</i> 6 (1d6 + 3) piercing damage. <br><b>Tail.</b> <i>Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (2d6 + 3) piercing damage. <br><b>Hurl Flame.</b> <i>Ranged Spell Attack:</i> +5 to hit, range 150 ft., one target. <i>Hit:</i> 10 (3d6) fire damage. If the target is a flammable object that isn't being worn or carried, it al so catches fire.
<br><br>
<b>Barbed Hide.</b> At the start of each of its turns, the barbed devil deals 5 (1dl0) piercing damage to any creature grappling it. <br><b>Devil's Sight.</b> Magical darkness doesn't impede the devil's darkvision. <br><b>Magic Resistance.</b> The devil has advantage on saving throws against spells and other magical effects.";;The Abyss creates demons as extensions of itself, spontaneously forming fiends out of filth and carnage. Some are unique monstrosities, while others represent uniform strains virtually identical to each other. Other demons (such as manes) are created from mortal souls shunned or cursed by the gods, or which are otherwise trapped in the Abyss.
Berserker;Medium humanoid (any race);any chaotic alignment;13;hide armor;67;9d8+27;30 ft.;16;12;17;9;11;9;;;;;;passive Perception 10;any one language (usually Common);2;450;;<b>Greataxe.</b> <i>Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (1d12 + 3) slashing damage.;;Hailing from uncivilized lands, unpredictable berserkers come together in war parties and seek conflict wherever they can find it.
Cult Fanatic;Medium humanoid (any race);any non-good alignment;13;leather armor;33;6d8+6;30 ft.;11;14;12;10;13;14;Dex +6, Wis +3;Deception +4, Persuasion +4, Religion +2;;;;passive Perception 10;any one language (usually Common);2;450;<b>Multiattack.</b> The fanatic makes two melee attacks.;<b>Rotting ray</b> <i>Ranged attack:</i> +10 vs. Dexterity or Constitution. <i>Hit:</i> Target starts to rot and gain 14 (1d12+8) necrotic damage and is frightened. Save ends.<br><b>Club.</b> <i>Melee or Ranged Weapon Attack:</i> +4 to hit, reach 5 ft. or range 20/60 ft., one creature. <i>Hit:</i> 4 (1d4 + 2) slashing damage.;;Fanatics are often part of a cult's leadership, using their charisma and dogma to influence and prey on those of weak will. Most are interested in personal power above all else.
Death dog;Medium monstrosity;neutral evil;12;;39;6d8+12;40 ft.;15;14;14;3;13;6;;Perception +5, Stealth +4;;;;darkvision 120ft., passive Perception 15;-;1;200;<b>Two-Headed.</b> The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious.;"<b>Multiattack.</b> The dog makes two bite attacks.<br>
<b>Bite.</b> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1 d6 + 2) piercing damage. lf the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0.";;A death dog is an ugly two-headed hound that roams plains, deserts, and the Underdark. Hate burns in a death dog's heart, and a taste for humanoid flesh drives it to attack travelers and explorers. Death dog saliva carries a foul disease that causes a victim's flesh to slowly rot off the bone.
Gelatinous Cube;Large ooze;unaligned;12;;110;10d10+60;15 ft.;14;3;20;1;6;1;;;;;blinded, charmed, deafened, exhaustion, frightened, prone;blindsight 60ft. (blind beyond this radius) , passive Perception 8;-;2;450;;"<b>Ooze Cube.</b>. The cube takes up its entire space. Other creatures can enter the space, but a creature that does so is subjected to the cube's Engulf and has disadvantage on the saving throw. Creatures inside the cube can be seen but have total cover. A creature within 5 feet of the cube can take an action to pull a creature or object out of the cube. Doing so requires a successful DC 12 Strength check, and the creature making the attempt takes 10 (3d6) acid damage. The cube can hold only one Large creature or up to four Medium or smaller creatures inside it at a time.<br>
<b>Transparent.</b> Even when the cube is in plain sight, it takes a successful DC 15 Wisdom (Perception) check to spot a cube that has neither moved nor attacked. A creature that tries to enter the cube's space while unaware of the cube is surprised by the cube.<br>
<b>Pseudopod.</b> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 10 (3d6) acid damage.<br>
<b>Engulf</b> The cube moves up to its speed. While doing so, it can enter Large or smaller creatures' spaces. Whenever the cube enters a creature's space, the creature must make a DC 12 Dexterity saving throw. On a successful save, the creature can choose to be pushed 5 feet back or to the side of the cube. A creature that chooses not to be pushed suffers the consequences of a failed saving throw. On a failed save, the cube enters the creature's space, and the creature takes 10 (3d6) acid damage and is engulfed. The engulfed creature can't breathe, is restrained, and takes 21 (6d6) acid damage at the start of each of the cube's turns. When the cube moves, the engulfed creature moves with it. An engulfed creature can try to escape by taking an action to make a DC 12 Strength check. On a success, the creature escapes and enters a space of its choice within 5 feet of the cube.";;Gelatinous cubes scour dungeon passages in silent, predictable patterns, leaving perfectly clean paths in their wake. They consume living tissue while leaving bones and other materials undissolved. <br>A gelatinous cube is all but transparent, making it hard to spot until it attacks. A cube that is well fed can be easier to spot, since its victims' bones, coins, and other objects can be seen suspended inside the creature.
Ghast;Medium undead;chaotic evil;13;;36;8d8;30 ft.;16;17;10;11;10;8;;;necrotic;poison;charmed, exhaustion, poisoned;darkvision 60ft., passive Perception 10;Common;2;450;;"<b>Stench.</b> Any creature that starts its turn within 5 feet of the ghast must succeed on a DC 10 Constitution saving throw or be poisoned until the start of its next turn. On a successful l saving throw, the creature is immune to the ghast's Stench for 24 hours.<br>
<b>Turning Defiance.</b> The ghast and any ghouls within 30 feet of it have advantage on saving throws against effects that turn undead.<br>
<b>Bite.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one creature. <i>Hit:</i> 12 (2d8 + 3) piercing damage.<br>
<b>Claws.</b> <i>Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (2d6 + 3) slashing damage. If the target is a creature other than an undead, it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.";;Orcus sometimes infuses a ghoul with a stronger dose of abyssal energy, making a ghast. Whereas ghouls are little more than savage beasts, a ghast is cunning and can inspire a pack of ghouls to follow its commands.
Hobgoblin;Medium humanoid (goblinoid);lawful evil;18;chain mail, shield;11;2d8+2;30 ft.;13;12;12;10;10;9;;;;;;darkvision 60ft., passive Perception 10;Common, Goblin;1/2;100;<b>Martial Advantage.</b> Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated.;"<b>Longsword.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d8 + 1) slashing damage, or 6 (1d10 + 1) s lashing damage if used with two hands.<br>
<b>Longbow.</b> <i>Ranged Weapon Attack:</i> +3 to hit, range 150/600 ft., one target. <i>Hit:</i> 5 (1d8 + 1) piercing damage.";;Hobgoblins have dark orange or red-orange skin, and hair ranging from dark red-brown to dark gray. Yellow or dark brown eyes peer out beneath their beetling brows, and their wide mouths sport sharp and yellowed teeth. A male hobgoblin might have a large blue  or red nose, which symbolizes virility and power among goblinkin. Hobgoblins can live as long as humans, though their love of warfare and battle means that few do.
Hobgoblin Captain;Medium humanoid (goblinoid);lawful evil;17;half plate;39;6d8+12;30 ft;15;14;14;12;10;13;;;;;;darkvision 60ft., passive Perception 10;Common, Goblin;3;700;<b>Martial Advantage.</b> Once per turn , the hobgoblin can deal an extra 10 (3d6) damage to a creature it hits with a weapon attack if that creature is with in 5 feet of an ally of the hobgoblin that isn't incapacitated.<br><br><b>Reactions</b><br><b>Parry.</b>The hobgoblin adds 3 to its AC against one melee attack that would hit it. To do so, the hobgoblin must see the attacker and be wielding a melee weapon.;"<b>Multiattack.</b> The hobgoblin makes two greatsword attacks.<br>
<b>Greatsword.</b> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft ., one target. <i>Hit:</i> 9 (2d6 + 2) piercing damage. <br>
<b>Javelin.</b> <i>Melee or Ranged Weapon Attack:</i> +4 to hit, reach 5 ft . or range 30/ 120 ft., one target. <i>Hit:</i> 5 (1d6 + 2) piercing damage.<br>
<b>Leadership (Recharges after a Short or Long Rest).</b> For 1 minute, the hobgoblin in can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the hobgoblin. A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated.";;Hobgoblins have dark orange or red-orange skin, and hair ranging from dark red-brown to dark gray. Yellow or dark brown eyes peer out beneath their beetling brows, and their wide mouths sport sharp and yellowed teeth. A male hobgoblin might have a large blue  or red nose, which symbolizes virility and power among goblinkin. Hobgoblins can live as long as humans, though their love of warfare and battle means that few do.
Hobgoblin Warlord;Medium humanoid (goblinoid);lawful evil;20;plate, shield;97;13d8+39;30 ft.;16;14;16;14;11;15;lnt +5, Wis +3, Cha +5;;;;;darkvision 60ft., passive Perception 10;Common, Goblin;6;2300;<b>Martial Advantage.</b> Once per turn, the hobgoblin can deal an extra 14 (4d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated.;"<b>Multiattack.</b> The hobgoblin makes three melee attacks. Alternatively, it can make two ranged attacks with its javelins.<br>
<b>Longsword.</b> <i>Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.<br>
<b>Shield Bash.</b> Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. <i>Hit:</i> 5 (1d4 + 3) bludgeoning damage. If the target is Large or smaller, it must succeed on a DC 14 Strength saving throw or be knocked prone.<br>
<b>Javelin.</b> <i>Melee or Ranged Weapon Attack:</i> +9 to hit, reach 5 ft. or range 30/120 ft., one target. <i>Hit:</i> 6 (1 d6 + 3) piercing damage. <br>
<b>Leadership (Recharges after a Short or Long Rest).</b> For 1 minute, the hobgoblin can utter a special command or warning whenever a non hostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the hobgoblin. A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated.
";;Hobgoblins have dark orange or red-orange skin, and hair ranging from dark red-brown to dark gray. Yellow or dark brown eyes peer out beneath their beetling brows, and their wide mouths sport sharp and yellowed teeth. A male hobgoblin might have a large blue  or red nose, which symbolizes virility and power among goblinkin. Hobgoblins can live as long as humans, though their love of warfare and battle means that few do.
Hobgoblin Wizard;Medium humanoid (goblinoid);lawful evil;18;chain mail, shield;11;2d8+2;30 ft.;13;12;12;10;10;9;;;;;;darkvision 60ft., passive Perception 10;Common, Goblin;1/2;100;<b>Martial Advantage.</b> Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated.;"<b>Longsword.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d8 + 1) slashing damage, or 6 (1d10 + 1) slashing damage if used with two hands.<br>
<b>Longbow.</b> <i>Ranged Weapon Attack:</i> +3 to hit, range 150/600 ft., one target. <i>Hit:</i> 5 (1d8 + 1) piercing damage.";;Hobgoblins have dark orange or red-orange skin, and hair ranging from dark red-brown to dark gray. Yellow or dark brown eyes peer out beneath their beetling brows, and their wide mouths sport sharp and yellowed teeth. A male hobgoblin might have a large blue  or red nose, which symbolizes virility and power among goblinkin. Hobgoblins can live as long as humans, though their love of warfare and battle means that few do.
