Peco Peco; Large Beast; Neutral; 14; natural; 39; 6d10+6; 60 ft; 17; 11; 13; 6; 13; 5; Dexterity +2; Passive Perception 11; Fire; ; ; ; ; 2; 450; ; Peck. Melee Weapon Attack: +5 to hit, reach 5ft., one target. Hit: 9 (2d6 +3) bludgeoning damage.<br><br>Fire Bolt (Recharge 5/6). Ranged Magic Attack: +5 to hit, reach 30ft., one target. Hit: 13 (2d8 +4) Fire damage.<br>; ; 
Grand Peco; Large Beast; Neutral; 15; natural; 55; 8d10+11; 60 ft; 19; 13; 14; 6; 18; 5; Dexterity +3; Passive Perception 13; Fire; ; ; ; ; 4; 1,150; ; Peck. Melee Weapon Attack: +6 to hit, reach 5ft., one target. Hit: 14 (3d6 +4) bludgeoning damage.<br><br>Lightning Bolt (Recharge 5/6). Ranged Magic Attack: +6 to hit, reach 30ft., one target. Hit: 19 (3d8 +5) Lightning damage.<br>; ; 
Female Thief Bug; Medium Insect; Neutral; 14; natural; 22; 6d10+6; 30 ft; 17; 11; 13; 6; 13; 5; Dexterity +2; Passive Perception 11, Stealth +3; ; ; Charm, Poison; Darkvision 120ft; ; 1; 200; ; Bite. Melee Weapon attack: +4 to hit, reach 5ft., on target. Hit: 8 (2d4 +3) Piercing damage.<br><br>Agility Up (recharge 4,5,6). Female Thief Bug blesses up to 2 other creatures it can see, those creatures gain an additional action on their next turn; ; Looter. Female Thief bug steals 1gp for each hit made against a target.
Male Thief Bug; Medium Insect; Neutral; 14; natural; 29; 6d10+6; 30 ft; 17; 11; 13; 6; 13; 5; Dexterity +2; Passive Perception 11, Stealth +3; ; ; Charm, Poison; Darkvision 120ft; ; 2; 450; ; Bite. Melee Weapon attack: +4 to hit, reach 5ft., on target. Hit: 10 (3d4 +3) Piercing damage.<br><br>Agility Up (recharge 4,5,6). Male Thief blesses up to 2 other creatures it can see, those creatures gain an additional action on their next turn.; ; Looter. Male Thief bug steals 1gp for each hit made against a target.
Golden Thief Bug; Large Insect; Neutral; 17; natural; 116; 10d10+56; 45 ft; 17; 16; 15; 6; 14; 5; Dexterity +2, Wissdom +3; Passive Perception 14, Stealth +4; Magic Damage; Fire; ; Darkvision 120ft; ; 6; 2,300; ; Multiattack. Golden Thief Bug makes 2 Bite and 1 Hip Check attacks.<br><br>Bite. Melee Weapon attack: +6 to hit, reach 10ft., on target. Hit: 14 (5d4 +2) Piercing damage.<br><br>Hip Check. Melee Weapon attack: +6 to hit, Reach 5ft., one target. Hit: 15 (3d8 +2) Bludgeoning damage and the target must succeed a DC 15 Dexterity saving throw or become prone.<br><br>Fireblast (recharge 5/6). Golden Thief Bug sprays a jet of fire from its antennae in a 45ft cone. All creatures in the radius must make a DC 15 Dexterity saving throw, taking 25 (5d6 +6) Fire damage on a failed throw, and half as much as a successful one.<br><br>; The Golden Thief Bug can take 3 Legendary Actions, using the options below. It can take only one legendary action at a time and only at the end of another creature's turn. The Golden Thief Bug regains spent legendary points at the start of its turn.<br><br>Assumptio (Costs 2 Actions). Golden Thief Bug blesses itself and gains 25 Temporary Hit points.<br>Mammonite. Melee Weapon attack: +6 to hit, reach 10ft., one target. Hit: 1d12+1 bludgeoning damage for each gold it has stolen.<br>Shift. Golden Thief Bug moves up to 30ft without provoking opportunity attacks.<br>; Looter. Golden Thief bug steals 5gp for each hit made against a target.<br><br>Magic Resistance. Golden Thief Bug gains advantage on all rolls from magical attacks and effects<br><br>Stealthy. Golden Thief Bug can make checks to become hidden as a bonus action.
Narjalala; Huge Beast; Neutral; 18; natural; 187; 12d12 + 115; 45 ft, Burrow 30ft; 22; 16; 24; 6; 23; 5; Dexterity +2, Wissdom +3; Passive Perception 19, Stealth +7; Poison; ; Prone; Darkvision 120ft; ; 11; 11,000; ; Multiattack. Narjalala makes 2 Bite and 1 Wrap attacks.<br><br>Bite. Melee Weapon attack: +9 to hit, reach 15ft., one target. Hit: 20 (5d6 +2) Piercing damage.<br><br>Wrap. Narjalala coils up and grabs any creatures that occupy the same space as the Narjalala. Creatures must succeed a DC 18 Strength saving throw or become Grappled (Escape DC 19). <br><br>Crush. Melee Weapon Attack: +9 to hit, reach 0ft., one target. Hit: 50 (5d10 +12) Bludgeoning damage.<br><br>; The Narjalala can take 3 Legendary Actions, using the options below. It can take only one legendary action at a time and only at the end of another creature's turn. The Narjalala regains spent legendary points at the start of its turn.<br><br>Devour (Costs 2 Actions). A Grappled creature must succeed a DC 18 Strength check or the Narjalala devours the creature it has grappled and regains 3d12 +10 hit points. The devoured creature is killed.<br><br>Wrap.<br><br>Shriek (recharge 5/6). Narjalala lets out a loud shriek. All creatures that can hear it must succeed a DC 17 Constitution save or become stunned and deafened until the end of Narjalala next turn.<br>; Maneuverable. Narjalala can occupy the same space as a medium or smaller creature.
Maya; Huge Insect; Neutral; 17; natural; 165; 20d10 + 55); 45 ft, Burrow 30ft; 22; 16; 24; 14; 23; 15; Dexterity +2, Wissdom +3; Passive Perception 19, Intimidate +3, Bluff +5; Bludgeoning, Slashing; ; ; Darkvision 120ft; ; 8; 5,000; ; Multiattack. Maya makes 2 Pierce and 1 Break or 1 Auto Guard attacks.<br><br>Pierce. Melee Weapon Attack: +7 to hit, reach 10ft., one target. Hit: 13 (3d6 +3) Piercing damage.<br><br>Break. Melee Weapon Attack: +7 to hit, reach 10ft., one target. Hit: 15 (2d8 +6) Piercing damage and any armor or shields that are made of metal suffer a permanent -1 to AC.<br><br>Auto-guard. Maya's arms shift into a hard shell and encases herself. She gains +3 AC until the start of her next turn. If a creature attacks Maya while she is guarding, she can use a reaction to use her Multiattack.<br><br><br>Heaven's Drive (Recharge 5/6). Maya unearths chunks of rock beneath one target. The target and each creature within 10ft of the target must make a DC 16 Dexterity check, taking 30 (3d10 +13) Bludgeoning damage and becoming prone on a failed throw, and half as much without being prone on a successful one.<br><br>; Maya can take 3 Legendary Actions, using the options below. It can take only one legendary action at a time and only at the end of another creature's turn. Maya regains spent legendary points at the start of its turn.<br><br>Heal (costs 2 Actions). Maya regains 25 Hit points.<br><br>Heavens Drive (Only if it is available).<br><br>Silence (recharge 5/6). Maya Utters a quiet Hymn, and all creatures that can hear it must succeed a DC 16 Intelligence Saving throw or become Silenced for 1 minute.<br><br>Shriek (recharge 5/6). Maya lets out a loud shriek. All creatures within 200ft of the Narjalala and that can hear it must succeed a DC 15 Constitution save or become stunned and deafened until the end of the Maya's next turn.<br>; Charming Presence. Each creature that ends its turn within 30 ft of Maya must succeed a DC 16 Wisdom saving throw or become charmed until the end of their next turn. Creatures that succeed this roll do not have to make further saves.
Clock Tower Manager; Huge Construct; Neutral; 19; natural; 188; 40d6 +48); 0ft, Fly 60ft; 28; 16; 24; 14; 19; 15; Dexterity +2, Wissdom +3; Passive Perception 17; ; Poison, Necrotic; Prone, Charm, Sleep, Blind, Deafened; Blindisght 120ft; ; 9; 7,000; ; Multiattack. Clock Tower Manager Makes 2 Hammer and 1 Sleep Dart Attacks.<br><br>Hammer. Melee Weapon attack: +8 to hit, range 10ft., one target. Hit: 21 (2d12 +8) Bludgeoning Damage.<br><br>Sleep Dart. Ranged Magic Attack: +8 to hit, range 45ft., one target. Hit: 9 (1d4 +7) Piercing damage and the target must succeed a DC 17 constitution save or fall asleep. <br><br>Fire Pillar (Recharge 4/5/6). The Clock Tower Manager summons  huge pillar of fire 10 ft wide and 20 ft tall on a target it can see. The target must succeed a DC 15 Dexterity saving throw to roll out of the way and move 5ft away from the fire, or suffer 44 (4d12 +18) Fire damage. The Pillar remains for 1 minute and each creature that ends its turn within 10 ft of the pillar must succeed a DC 16 Constitution saving throw or suffer 1 level of exhaustion.; The Clock Tower Manager can take 3 Legendary Actions, using the options below. It can take only one legendary action at a time and only at the end of another creature's turn. The Clock Tower Manager regains spent legendary points at the start of its turn.<br><br>Teleport. Clock Tower Manager teleports up to 120ft in an open space.<br><br>Dispel. Clock Tower manager removes the effect of 1 magical spell or ability from any target it can see.<br><br>Silence (recharge 5/6). The Clock Tower Manager Utters a quiet Hymn, and all creatures that can hear it must succeed a DC 16 Intelligence Saving throw or become Silenced for 1 minute.<br><br>Fire Pillar (Costs 2 Actions)(If it is available).; Magic Resistant. Clock Tower Manager has advantage to all saving throws against magical attacks and effects.<br><br>Magic Detector. Clock Tower manager can pinpoint the location a magical source or effect within a 300 ft radius of itself.
Abyssal Knight; Huge Demon; Evil; 17; natural; 381; 40D12 + 41; 60ft; 28; 19; 25; 14; 19; 12; Dexterity +2, Wissdom +3, Constitution +3; Passive Perception 17; Psychic, Poison, Necrotic; ; Prone, Frightened; ; Abyssal; 17; 16,000; ; Multiattack. Abyssal Knight makes 1 Lance, 1 Greatsword, and 1 Crossbow Attack or 1 Trample Attack.<br><br>Lance. Melee Weapon Attack: +10 to hit, Range 15ft., one target. Hit: 29 (4d10 +7) Piercing Damage and the target is knocked back 30ft.<br><br>Greatsword. Melee Weapon Attack: +10 to hit, Range 10ft., One Target. Hit: 31 (4d12 +5) Slashing Damage and the target is knocked Prone.<br><br>Crossbow. Ranged Weapon Attack: +11 to hit, Range 120ft., One Target. Hit: 27 (4d8 +9) Piercing damage.<br><br>Trample. Melee Weapon Attack: +10 to hit, Reach 5ft., one target. Hit: 28 (4d10 +6) Bludgeoning damage.<br><br>; The Abyssal Knight can take 3 Legendary Actions, using the options below. It can take only one legendary action at a time and only at the end of another creature's turn. The Abyssal Knight regains spent legendary points at the start of its turn.<br><br>Charge (Costs 2 Actions). The Abyssal Knight moves up to his speed and performs a Trample Action.<br><br>Crossbow.<br><br>Summon Khalitzburg (Recharge 5/6). The Abyssal Knight summons 3 Khalitzburg within 30ft of itself.<br><br>; Terrifying Presence. Each creature that ends their turn within 30ft of the Abyssal Knight must succeed a DC 19 Wisdom Saving throw or become Frightened until the end of their next turn. Creatures that succeed this throw do not have to make further saves.<br><br>Trampling Charge. If Abyssal Knight moves 20 ft in a straight line towards a creature and hits with a Trample in the same turn, it can use Trample against the target as a bonus action that turn.
Khalitzburg; Medium Undead; Evil; 18; ; 38; ; 25ft; 16; 12; 9; 4; 10; 2; Constitution +1; Perception +2; ; Necrotic, Poison, Psychic; Charmed, Frightened, Deafened, Blind; Blindsight 120ft; ; 3; 800; ; Multiattack. Khalitzburg make 2 Longsword attacks.<br><br>Longsword. Melee Weapon Attack: +5 to hit, range 5ft., one target. Hit: 11 (1d8 +6) Slashing damage.<br><br>; ; Critical Hit. Khalitzburg score critical hits on rolls off 18-20
