Water Elemental; Large elemental; neutral; 14; natural; 114; 12d10+48; 30 ft., swim 90 ft.; 18; 14; 18; 5; 10; 8; ; ; acid, bludgeoning, piercing, and slashing from nonmagical weapons; poison; exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, and unconcious; darkvision 60 ft., passive Perception 10; Aquan; 5; 1800; ; Multiattack. The elemental makes two slam attacks.<br><br>Slam. Melee Weapon Attack: +7 to hit, reach 5 ft ., one <br>target.<br>Hit: 13 (2d8 + 4) bludgeoning damage.<br><br>Whelm (Recharge 4-6). Each creature in the elemental's space must make a DC 15 Strength saving throw. On a failure, a target takes 13 (2d8 + 4) bludgeoning damage. If it is Large or smaller, it is also grappled (escape DC 14). Until this grapple ends, the target is restrained and unable to breathe unless it can breathe water. If the saving throw is successful, the target is pushed out of the elemental's space.<br>The elemental can grapple one Large creature or up to two Medium or smaller creatures at one tim e. At the start of each of the elemental's turns, each target grappled by it takes 13 (2d8 + 4) bludgeoning damage. A creature within 5 feet of the elemental can pull a creature or object out of it by taking an<br>action to make a DC 14 Strength and succeeding.; ; Water Form. The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.<br><br>Freeze. If the elemental takes cold damage, it partially freezes, its speed is reduced by 20 feet until the end of its next turn.
Merrow; Large monstrosity; chaotic evil; 13; natural; 45; 6d10+12; 10 ft., swim 40 ft.; 18; 10; 15; 8; 10; 9; ; ; ; ; ; darkvision 60 ft., passive Perception 12; Abyssal, Aquan; 2; 450; ; Multiattack. The merrow makes two attacks: one with its bite and one with its claws or harpoon .<br><br>Bite. Melee Weapon Attack: +6 to hit, reach 5 ft ., one target.<br>Hit: 8 (1d8 + 4) piercing damage.<br><br>Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target.<br>Hit: 9 (2d4 + 4) slashing damage.<br><br>Harpoon. Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. <br>Hit: 11 (2d6 + 4) piercing damage. If the target is a Huge or smaller creature, it must succeed on a Strength contest against the merrow or be pulled up to 20 feet toward the merrow.; ; Amphibious. The merrow can breathe air and water.
Bandit Captain; Medium Humanoid; any non-lawful alignment; 15; studded leather; 65; 10d8+20; 30 ft.; 15; 16; 14; 14; 11; 14; Str +4, Dex +5, Wis +2; Athletics +4, Deception +4; ; ; ; passive Perception 10; any two languages; 2; 450; ; Multiattack. The captain makes three melee attacks: two with its scimitar and one with its dagger. Or the captain makes two ranged attacks with its daggers.<br><br>Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one<br>target.<br>Hit: 6 (ld6 + 3) slash ing damage.<br><br>Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. <br>Hit: 5 (1d4 + 3) piercing damage.<br><br>Parry. The captain adds 2 to its AC against one melee attack that would hit it. To do so, the captain must see the attacker and be wielding a melee weapon.; ; 
Giant Vulture; Large Beast; Neutral Evil; 10; ; 22; 3d10+6; 10 ft., fly 60 ft.; 15; 10; 15; 6; 12; 7; ; Perception +3; ; ; ; passive Perception 13; understands Common but cant speak; 1; 200; ; Multiattack. The vulture makes two attacks: one with its beak and one with its talons.<br><br>Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target.<br>Hit: 7 (2d4 + 2) p}ercing damage.<br><br>Talons. Melee Weapon Attack:+4 to hit, reach 5 ft. , one target.<br>Hit: 9 (2d6 + 2) slashing damage.; ; Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell.<br><br>Pack Tactics. The vulture has advantage on an attack roll<br>against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated.
Feathergale Knight; Medium humanoid; lawful evil; 16; scale; 33; 6d8+6; 30 ft.; 14; 14; 12; 11; 10; 14; ; Animal handling +2, History +2; ; ; ; passive Perception 10; Auran, Common; 1; 200; ; Multiattack. The knight makes two melee attacks.<br><br>Longsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit: 6 (1d8 + 2) slashing damage, or 7 (1d10 + 2)<br>slashing damage if used with two hands.<br><br>Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. <br>Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack. ; ; Spellcasting. The knight is a 1st-level spellcaster. Its<br>spellcasting ability is Charisma (spell save DC 12, +4 to hit<br>with spell attacks). It knows the following sorcerer spells (an asterisked spell is from appendix B):<br><br>Cantrips (at will): gust,* light, message, ray of frost<br>1st level (2 slots): expeditious retreat, feather fall
Helmed Horror; Medium construct; neutral; 20; plate, shield; 60; 8d8+24; 30 ft., fly 30 ft.; 18; 13; 16; 10; 10; 10; ; Perception +4; bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine; force, necrotic, poison; blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned, stunned; blindsight 60ft. (blind beyond this radius), passive Perception 14; understands the languages of its creator but can't speak; 4; 1100; ; Multiattack. The helmed horror makes two longsword attacks.<br><br>Longsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. <br>Hit: 8 (1d8 + 4) slashing damage, or 9 (1d10 + 4)<br>slashing damage if used with two hands.; ; Magic Resistance. The helmed horror has advantage on saving throws against spells and other magical effects.<br><br>Spell Immunity. The helmed horror is immune to three spells chosen by its creator. Typical immunities include fireball, heat metal, and lightning bolt.
Wight; Medium undead; neutral evil; 14; studded leather; 45; 6d8+18; 30 ft.; 15; 14; 16; 10; 13; 15; ; Perception +3, Stealth +4; necrotic, bludgeoning, piercing and slashing from nonmagical weapons that aren't silvered.; poison; exhaustion, poisoned; darkvision 60 ft., passive Perception 13; the languages it knew in life; 3; 700; ; Multiattack. The wight makes two longsword attacks or<br>two longbow attacks. It can use its Life Drain in place of onelongsword attack.<br><br>Life Drain. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. <br>Hit: 5 (1d6 + 2) necrotic damage. The target must<br>succeed on a DC 13 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain by this attack rises 24 hours later as a zombie under the wight's control, unless the humanoid is restored to life or its body is destroyed. The wight can have no more than twelve zombies under its control at one time.<br><br>Longsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit: 6 (1d8 + 2) slashing damage, or 7 (1d10 + 2) slashing damage if used with two hands. <br><br>Longbow. Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. <br>Hit: 6 (1d8 + 2) piercing damage.; ; Sunlight Sensitivity. While in sunlight, the wight has<br>disadvantage on attack rolls, as well as on Wisdom<br>(Perception) checks that rely on sight.
Gnoll; Medium Humanoid; Chaotic Evil; 15; hide armor, shield; 22; 5d8; 30 ft.; 14; 12; 11; 6; 10; 7; ; ; ; ; ; darkvision 60 ft., passive Perception 12; Gnoll; 1/2; 100; ; Bite. Melee Weapon Attack: +4 to hit, reach 5 ft ., one creature.<br>Hit: 4 (1d4 + 2) piercing damage.<br><br>Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft ., one target. <br>Hit: 5 (1d6 + 2) piercing damage, or 6 (1 d8 + 2) piercing damage if used with two hands to make a melee attack.<br><br>Longbow. Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. <br>Hit: 5 (1d8 + 1) piercing damage.; ; Rampage. When the gnoll reduces a creature to 0 hit points<br>with a melee attack on its turn, the gnoll can take a bonus<br>action to move up to half its speed and make a bite attack.
Eternal Flame Priest; Medium Humanoid; neutral evil; 12; 15 with mage armor; 52; 8d8+16; 30 ft.; 12; 15; 14; 10; 11; 16; ; Deception +5, Intimidation +5, Religion +2; fire; ; ; passive Perception 10; Common, Ignan; 3; 700; ; Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. <br>Hit: 4 (1d4 + 2) piercing damage.; ; Spellcasting. The priest is a 5th-level spellcaster. Its<br>spellcasting ability is Charisma (spell save DC 13, +5 to hit<br>with spell attacks). It knows the following sorcerer spells (an asterisked spell is from appendix B):<br><br>Cantrips (at will): control flames,* create bonfire,* fire bolt, light, minor illusion<br>1st level (4 slots): burning hands, expeditious<br>retreat, mage armor<br>2nd level (3 slots): blur, scorching ray<br>3rd level (2 slots): fireball
Eternal Flame Warrior; Medium Humanoid; chaotic evil; 17; breastplate, shield 15 while using crossbow; 45; 7d8+14; 30 ft.; 15; 13; 14; 8; 11; 13; ; Intimidation +3, Perception +2; Fire; ; ; Passive Perception 12; ; ; ; ; Multiattack. The guard makes two melee attacks.<br><br>Longsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit: 6 (1d8 + 2) slashing damage.<br><br>Heavy Crossbow. Ranged Weapon Attack: +3 to hit, range<br>100/400 ft., one target. <br>Hit: 6 (1d10 + 1) piercing damage.; ; Flaming Weapon (Recharges after a Short or Long Rest). As a bonus action, the guard can wreath one melee weapon it is wielding in flame. The guard is unharmed by this fire, which lasts until the end of the guard’s next turn. While wreathed in flame, the weapon deals an extra 3 (1d6) fire damage on a hit.
