Bearded Devil; Medium fiend (devil); lawful evil; 13; natural; 52; 8d8+16; 30ft; 16; 15; 15; 9; 11; 11; Str +5, Con +4, Wis +2; ; cold, bludgeoning, piercing and slashing from nonmagical weapons that aren't silvered; fire, poison; poisoned; darkvision 120ft, PP 10; Infernal, telepathy 120ft; 3; 700; ; Multiattack. The devil makes two attacks: one with its beard and one with its glaive.<br><br>Beard. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can’t regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><br>Glaive. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 8 (1d10 + 3) slashing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1d10) hit points at the start of each of its turns due to an infernal wound. Each time<br>the devil hits the wounded target with this attack, the damage dealt by the wound increases by 5 (1d10). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.; ; Devil’s Sight. Magical darkness doesn’t impede the devil’s darkvision.<br><br>Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.<br><br>Steadfast. The devil can’t be frightened while it can see an allied creature within 30 feet of it.,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimera; Large monstrosity; chaotic evil; 14; natural; 114; 12d10+48; 30ft, fly 60ft; 19; 11; 19; 3; 14; 10; ; Perception +8; ; ; ; darkvision 60ft, PP 18; understands Draconic but can't speak; 6; 2300; ; Multiattack. The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.<br><br>Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage. <br><br>Horns. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage.<br><br>Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.<br><br>Fire Breath (Recharge 5 E). The dragon head exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one.; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Golem; Large construct; unaligned; 14; natural; 133; 14d10+56; 20ft; 20; 9; 18; 3; 8; 1; ; ; ; acid, poison, psyching, bludgeoning, piercing and slashing from nonmagical weapons that aren't adamantine; charmed, exhaustion, frightened, paralyzed, petrified, poisoned; darkvision 60ft., PP 9; understands the languages of its creator but can't speak; 9; 5000; ; Multiattack. The golem makes two slam attacks.<br><br>Slam. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw or have its hit point maximum reduced by an amount equal to the damage taken. The target dies if this attack reduces its hit point maximum to 0. The reduction lasts until removed by the greater restoration spell or other magic.<br><br>Haste (Recharge 5 E). Until the end of its next turn, the<br>golem magically gains a +2 bonus to its AC, has advantage on Dexterity saving throws, and can use its slam attack as a bonus action.; ; Acid Absorption. Whenever the golem is subjected to acid damage, it takes no damage and instead regains a number of hit points equal to the acid damage dealt.<br><br>Berserk. Whenever the golem starts its turn with 60 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack,the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.<br><br>Immutable Form. The golem is immune to any spell or effect that would alter its form.<br><br>Magic Resistance. The golem has advantage on saving throws against spells and other magical effects.<br><br>Magic Weapons. The golem’s weapon attacks are magical.,,,,,,,,,,,,,,,,,,,
Ghost; Medium undead; any alignment; 11; ; 45; 10d8; fly 40ft; 7; 13; 10; 10; 12; 17; ; ; acid, fire, lightning, thunder, bludgeoning, piercing and slashing from nonmagical weapons; cold, necrotic, poison; charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained; darkvision 60ft, PP 11; any languages it knew in life; 4; 1100; ; Withering Touch. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 17 (4d6 + 3) necrotic damage.<br><br>Etherealness. The ghost enters the Ethereal Plane from the Material Plane, or vice versa. It is visible on the Material Plane while it is in the Border Ethereal, and vice versa, yet it can’t affect or be affected by anything on the other plane.<br><br>Horrifying Visage. Each non-undead creature within 60 feet of the ghost that can see it must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. If the save fails by 5 or more, the target also ages 1d4 ÁE10 years. A frightened target can repeat the saving throw at the end of each of its turns, ending the frightened condition on itself on a success. If a target’s saving throw is successful or the effect ends for it, the target is immune to this ghost’s Horrifying Visage for the next 24 hours. The aging effect can be reversed with a greater restoration spell, but only within 24 hours of it occurring.<br><br>Possession (Recharge 6). One humanoid that the ghost can see within 5 feet of it must succeed on a DC 13 Charisma saving throw or be possessed by the ghost, the ghost then disappears, and the target is incapacitated and loses control of its body. The ghost now controls the body but doesn’t deprive the target<br>of awareness. The ghost can’t be targeted by any attack, spell,or other effect, except ones that turn undead, and it retains its alignment, Intelligence, Wisdom, Charisma, and immunity to being charmed and frightened. It otherwise uses the possessed<br>target’s statistics, but doesn’t gain access to the target’s knowledge, class features, or proficiencies.<br>The possession lasts until the body drops to 0 hit points, the ghost ends it as a bonus action, or the ghost is turned or forced out by an effect like the dispel evil and good spell. When the possession ends, the ghost reappears in an unoccupied space within 5 feet of the body. The target is immune to this ghost’s Possession for 24 hours after succeeding on the saving throw or after the possession ends.; ; Ethereal Sight. The ghost can see 60 feet into the Ethereal Plane when it is on the Material Plane, and vice versa.<br><br>Incorporeal Movement. The ghost can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.
Helmed Horror; Medium construct; neutral; 20; plate, shield; 60; 8d8+24; 30ft, fly 30ft; 18; 13; 16; 10; 10; 10; ; Perception +4; bludgeoning, piercing and slashing from non-magical weapons that aren't adamantine; force, necrotic, poison; blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned, stunned; blindsight 60ft. (blind beyond this radius); understands languages of its creator, but can't speak; 4; 1100; ; Multiattack. The helmed horror makes two longsword attacks.<br><br>Longsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands.; ; Magic Resistance. The helmed horror has advantage on saving throws against spells and other magical effects.<br><br>Spell Immunity. The helmed horror is immune to three spells<br>chosen by its creator. Typical immunities include fireball, heat metal, and lightning bolt.,,,,,,,,,,,,,,,,,,,,,,,,
Mummy Lord; Medium undead; lawful evil; 17; natural; 97; 13d8+39; 20ft; 18; 10; 17; 11; 18; 16; Con+8, Int+5, Wis+9, Cha+8; History +5, Religion +5; ; necrotic, poison, bludgeoning, piercing, and slashing from non-magical weapons; charmed, exhaustion, frightened, paralyzed, poisoned; darkvision 60ft, PP14; the languages it knew in life; 15; 13000; ; Multiattack. The mummy can use its Dreadful Glare and makes one attack with its rotting fist.<br><br>Rotting Fist. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (3d6 + 4) bludgeoning damage plus 21 (6d6) necrotic damage. If the target is a creature, it must succeed on a DC 16 Constitution saving throw or be cursed with mummy rot. The cursed target can’t regain hit points, and its hit point maximum decreases by 10 (3d6) for every 24 hours that elapse. If the curse reduces the target’s hit point maximum to 0, the target dies, and its body turns to dust. The curse lasts until removed by the remove curse spell or other magic.<br><br>Dreadful Glare. The mummy lord targets one creature it can see within 60 feet of it. If the target can see the mummy lord, it must succeed on a DC 16 Wisdom saving throw against this magic or become frightened until the end of the mummy’s next turn. If the target fails the saving throw by 5 or more, it is also paralyzed for the same duration. A target that succeeds on the saving throw is immune to the Dreadful Glare of all mummies and mummy lords for the next 24 hours.; The mummy lord can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The mummy lord regains spent legendary actions at the start of its turn.<br><br>Attack. The mummy lord makes one attack with its rotting fist or uses its Dreadful Glare.<br><br>Blinding Dust. Blinding dust and sand swirls magically around the mummy lord. Each creature within 5 feet of the mummy lord must succeed on a DC 16 Constitution saving throw or be blinded until the end of the creature’s next turn.<br><br>Blasphemous Word (Costs 2 Actions). The mummy lord utters a blasphemous word. Each non-undead creature within 10 feet of the mummy lord that can hear the magical utterance must succeed on a DC 16 Constitution saving throw or be stunned until the end of the mummy lord’s next turn.<br><br>Channel Negative Energy (Costs 2 Actions). The mummy lord magically unleashes negative energy. Creatures within 60 feet of the mummy lord, including ones behind barriers and around corners, can’t regain hit points until the end of the mummy lord’s next turn.<br><br>Whirlwind of Sand (Costs 2 Actions). The mummy lord magically transforms into a whirlwind of sand, moves up to 60 feet, and reverts to its normal form. While in whirlwind form, the mummy lord is immune to all damage, and it can’t be grappled, petrified, knocked prone, restrained, or stunned. Equipment worn or carried by the mummy lord remain in its possession.; Damage vulnerabilities: Fire<br><br>Magic Resistance. The mummy lord has advantage on saving throws against spells and other magical effects.<br><br>Rejuvenation. A destroyed mummy lord gains a new body in 24 hours if its heart is intact, regaining all its hit points and becoming active again. The new body appears within 5 feet of the mummy lord’s heart.<br><br>Spellcasting. The mummy lord is a 10th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 17, +9 to hit with spell attacks). The mummy lord has the following cleric spells prepared:<br>Cantrips (at will): sacred flame, thaumaturgy<br>1st level (4 slots): command, guiding bolt, shield of faith<br>2nd level (3 slots): hold person, silence, spiritual weapon<br>3rd level (3 slots): animate dead, dispel magic<br>4th level (3 slots): divination, guardian of faith<br>5th level (2 slots): contagion, insect plague<br>6th level (1 slot): harm
Specter; Medium undead; chaotic evil; 12; ; 22; 5d8; fly 50ft (hover); 1; 14; 11; 10; 10; 11; ; ; acid, cold, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons; necrotic, poison; charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconcious; darkvision 60ft, PP10; all it knew in life, but can't speak; 1; 200; ; Life Drain. Melee Spell Attack: +4 to hit, reach 5 ft., one<br>creature. Hit: 10 (3d6) necrotic damage. The target must<br>succeed on a DC 10 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the creature finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.; ; Incorporeal Movement. The specter can move through other<br>creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br><br>Sunlight Sensitivity. While in sunlight, the specter has<br>disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.,,,,,,,,,,,,,,,,,,,,
Swarm of Poisonous Snakes; Medium swarm of Tiny beasts; unaligned; 14; ; 36; 8d8; 30ft, swim 30ft; 8; 18; 11; 1; 10; 3; ; ; Bludgeoning, piercing, slashing; ; charmed, frightened, paralyzed, petrified, prone, restrained, stunned; Blindsight 10ft, PP10; None; 2; 450; ; Bites. Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm’s space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer. The target must make a DC 10 Constitution saving throw, taking 14 (4d6) poison damage on a failed save, or half as much damage on a successful one.; ; Swarm. The swarm can occupy another creature’s space and vice versa, and the swarm can move through any opening large enough for a Tiny snake. The swarm can’t regain hit points or gain temporary hit points.,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan-ti Pureblood; Medium humanoid (yuan-ti); neutral evil; 11; ; 40; 9d8; 30ft; 11; 12; 11; 13; 12; 14; ; Deception +6, Perception +3, Stealth +3; ; poison; poisoned; Darkvision 60ft, PP 13; Abyssal, Common, Draconic; 1; 200; ; Multiattack. The yuan-ti makes two melee attacks.<br><br>Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one<br>target. Hit: 4 (1d6 + 1) slashing damage.<br><br>Shortbow. Ranged Weapon Attack: +3 to hit, range 80/320<br>ft., one target. Hit: 4 (1d6 + 1) piercing damage plus 7 (2d6) poison damage.; ; Innate Spellcasting. The yuan-ti’s spellcasting ability is<br>Charisma (spell save DC 12). The yuan-ti can innately cast the following spells, requiring no material components:<br>At will: animal friendship (snakes only)<br>3/day each: poison spray, suggestion<br><br>Magic Resistance. The yuan-ti has advantage on saving throws against spells and other magical effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wraith; Medium undead; neutral evil; 13; ; 67; 9d8+27; 60ft (fly); 6; 16; 16; 12; 14; 15; ; ; acid,cold, fire, lightning, thunder, bludgeoning, piercing and slashing from non-magical weapons that aren't silvered; necrotic, poison; charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained; Darkvision 60ft, PP 12; The languages it knew in life; 5; 1800; ; Life Drain. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 21 (4d8 + 3) necrotic damage. The target must succeed on a DC 14 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.<br><br>Create Specter. The wraith targets a humanoid within 10 feet of it that has been dead for no longer than 1 minute and died violently. The target’s spirit rises as a specter in the space of its corpse or in the nearest unoccupied space. The specter is under the wraith’s control. The wraith can have no more than seven specters under its control at one time.; ; Incorporeal Movement. The wraith can move through other<br>creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br><br>Sunlight Sensitivity. While in sunlight, the wraith has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.,,,,,,,,,,,,,,,,,,,,,,,
