Archmage;Medium humanoid (any race);any alignment;12 (15);None (Mage Armor);99;18d8+18;30;10;14;12;20;15;16;Int +9 Wis +6;Arcana +13 History +13;damage from spells nonmagical bludgeoning piercing and slashing (from stoneskin;;;passive Perception 12;any six languages;12;8400;;Dagger. Melee or Ranged Weapon Attack: +6 to hit reach 5 ft. or range 20/60 ft. one target.<br>Hit: 4 (1d4 + 2) piercing damage.<br><br>Spellcasting. The archmage is an 18th level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17 +9 to hit with spell attacks). The archmage can cast disguise self and invisibility at will and has the following wizard spells prepared:<br>Cantrips (at will): fire bolt light mage hand prestidigitation shocking grasp<br>1st level (4 slots): detect magic identify mage armor* magic missile<br>2nd level (3 slots): detect thoughts mirror image misty step<br>3rd level (3 slots): counterspell fly lightning bolt<br>4th level (3 slots): banishment fire shield stoneskin*<br>5th level (3 slots): cone of cold scrying wall of force<br>6th level (1 slot): globe of invulnerability<br>7th level (1 slot): teleport<br>8th level (1 slot): mind blank*<br>9th level (1 slot): time stop<br>*The archmage casts these spells on itself before combat.;;Magic Resistance. The archmage has advantage on saving throws against spells and other magical effects.
Bandit;Medium humanoid (any race);any non-lawful alignment;12;leather armor;11;2d8+2;30 ft.;11;12;12;10;10;10;;;;;;passive Perception 10;any one language (usually Common);1/8;25;;Scimitar. Melee Weapon Attack:+3 to hit reach 5 ft. one target. <br>Hit:4 (1d6 + 1) slashing damage.<br>Light Crossbow. Ranged Weapon Attack:+3 to hit range 80 ft./320 ft. one target.<br>Hit: 5 (1d8 + 1) piercing damage.<br>;;
Bandit Captain;Medium humanoid (human);chaotic neutral;15;Studded Leather;65;10d8+30;30;15;16;14;14;11;14;Str +4 Dex +5 Wis +2;Athletics +4 Deception +4;;;;passive Perception 10;Common Elvish;2;450;;Multiattack. The captain makes three melee attacks: two with its scimitar and one with its dagger. Or the captain makes two ranged attacks with its daggers.<br><br>Scimitar. Melee Weapon Attack: +5 to hit reach 5 ft. one target.<br>Hit: 6 (1d6 + 3) piercing damage.<br><br>Dagger. Melee or Ranged Weapon Attack: +5 to hit reach 5 ft. or range 20/60 ft. one target. <br>Hit: 5 (1d4 + 3) piercing damage.<br><br>Parry. The captain adds 2 to its AC against one melee attack that would hit it. To do so the captain must see the attacker and be wielding a melee weapon.;;
Blue Slaad;Large aberration;chaotic neutral;15;natural armor;123;13d10+52;30;20;15;18;7;7;9;;Perception +1;acid cold fire lightning thunder;;;darkvision 60 ft. passive Perception 11;Slaad telepathy 60 ft.;7;2900;;Multiattack. The slaad makes three attacks: one with its bite and two with its claws.<br><br>Bite. Melee Weapon Attack: +8 to hit reach 5 ft. one target.<br>Hit: 12 (2d6 + 5) piercing damage.<br><br>Claw. Melee Weapon Attack: +8 to hit reach 5 ft. one target.<br> Hit: 12 (2d6 + 5) slashing damage. If the target is a humanoid it must succeed on a DC 15 Constitution saving throw or be infected with a disease called chaos phage. While infected the target can’t regain hit points and its hit point maximum is reduced by 10 (3d6) every 24 hours. If the disease reduces the target’s hit point maximum to 0 the target instantly transforms into a red slaad or if it has the ability to cast spells of 3rd level or higher a green slaad. Only a wish spell can reverse the transformation.;;Magic Resistance. The slaad has advantage on saving throws against spells and other magical effects.<br><br>Regeneration. The slaad regains 10 hit points at thestart of its turn if it has at least 1 hit point.
Cambion;Medium fiend;lawful evil;19;Scale mail;82;11d8+33;30 fly 60;18;18;16;14;12;16;Str +7 Con +6 Int +5 Cha +6;Deception +6 Intimidation +6 Perception +4 Stealth +7;cold fire lightning poison bludgeoning piercing and slashing from nonmagical weapons;;;darkvision 60 ft. passive Perception 14;Abyssal Common Infernal;5;1800;;Multiattack. The cambion makes two melee attacks or uses its Fire Ray twice.<br><br>Spear. Melee or Ranged Weapon Attack: +7 to hit reach 5 ft. or range 20/60 ft. one target.<br>Hit: 7 (1d6 + 4) piercing damage or 8 (1d8 + 4) piercing damage if used with two hands to make a melee attack plus 3 (1d6) fire damage.<br><br>Fire Ray. Ranged Spell Attack: +7 to hit range 120 ft. one target.<br>Hit: 10 (3d6) fire damage.<br><br>Fiendish Charm. One humanoid the cambion can see within 30 feet of it must succeed on a DC 14 Wisdom saving throw or be magically charmed for 1 day. The charmed target obeys the cambion’s spoken commands. If the target suffers any harm from the cambion or another creature or receives a suicidal command from the cambion the target can repeat the saving throw ending the effect on itself on a success. If a target’s saving throw is successful or if the effect ends for it the creature is immune to the cambion’s Fiendish Charm for the next 24 hours.;;Fiendish Blessing. The AC of the cambion includes its Charisma bonus.<br><br>Innate Spellcasting. The cambion’s spellcasting ability is Charisma (spell save DC 14). The cambion can innately cast the following spells requiring no material components:<br>3/day each: alter self command detect magic<br>1/day: plane shift (self only)
Commoner;Medium humanoid (any race);any alignment;10;;4;1d8;30 ft.;10;10;10;10;10;10;;;;;;passive Perception 10;any one Language (usually Common);0;10;;Club. Melee Weapon Attack:+2 to hit reach 5 ft. one target. <br>Hit: 2 (1d4) bludgeoning damage.;;
Cyclops;Huge giant;chaotic neutral;14;natural;138;12d12+60;30ft;22;11;20;8;6;10;;;;;;PP 8;Giant;6;2300;;Multiattack. The cyclops makes two greatclub attacks.<br><br>Greatclub. Melee Weapon Attack: +9 to hit reach 10 ft. one target. Hit: 19 (3d8 + 6) bludgeoning damage.<br><br>Rock. Ranged Weapon Attack: +9 to hit range 30/120 ft. one target. Hit: 28 (4d10 + 6) bludgeoning damage.;;Poor Depth Perception. The cyclops has disadvantage on any attack roll against a target more than 30 feet away.
Dragonclaw;medium Humanois;neutral evil;14;leather armor;16;3d8+3;30 ft.;9;16;13;11;10;12;Wis +2;Deception +5 Stealth +5;;;;passive Perception 10;Common Draconic;1;200;;Multiattack. The dragonclaw attacks twice with its scimitar.<br>Scimitar. Melee Weapon Attack: +5 to hit reach 5 ft. one target. <br>Hit:6 ( 1d6 + 3) slashing damage.;;Dragon Fanatic.The dragonclaw has advantage on saving throws against being charmed or frightened. While the <br>dragonclaw can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it the dragonclaw ignores the effects of being charmed or frightened.<br>Fanatical Advantage. Once per turn if the dragonclaw makes a weapon attack with advantage on the attack roll and hits it deals an extra 7 (2d6) damage.<br>Pack Tactics.The dragonclaw has advantage on an attack roll against a creature if at least one of the Dragonclaw's allies is within 5 feet of the creature and the ally isn't incapacitated.
Dragonfang;Medium humanoid (human);neutral evil;15;Studded Leather;78;12d8+24;30;11;16;14;12;12;14;Wis +3;Deception +4 Stealth +5;one of the following: acid cold fire lightning or poison fire lightning or poison;;;passive Perception 11;Common Draconic Infernal;5;1800;;Multiattack. The dragonfang attacks twice with its shortsword.<br><br>Shortsword. Melee Weapon Attack: +5 to hit reach 5 ft.one target.<br>Hit: 6 (1d6 + 3) piercing damage plus 7 (2d6) damage of the type to which the dragonfang has damage resistance.<br><br>Orb of Dragon's Breath (2/Day). Ranged Spell Attack: +5 to hit range 90 ft. one target. <br>Hit: 22 (5d8) damage of the type to which the dragonfang has damage resistance.;;Dragon Fanatic. The dragonfang has advantage on saving throws against being charmed or frightened. While the dragonfang can see a dragon or higher ranking Cult of the Dragon cultist friendly to it the dragonfang ignores the effect of being charmed or frightened.br><br>Fanatic Advantage. Once per turn If the dragonfang makes a weapon attack with advantage on the attack roll and hits the target takes an extra 10 (3d6) damage.<br><br>Limited Flight. The dragonfang can use a bonus action to gain a flying speed of 30 feet until the end of its turn.<br><br>Pack Tactics. The dragonfang has advantage on an attack roll against a creature if at least one of the dragonfang's allies is within 5 feet of the creature and the ally isn't incapacitated.
Dragonsoul;Medium humanoid (human);neutral evil;16;Studded Leather;110;17d8+34;30;11;18;14;13;12;16;Wis +4;Deception +6 Stealth +7;one of the following: acid cold fire lightning or poison fire lightning or poison;;;passive Perception 11;Common Draconic Infernal;7;2900;;Multiattack. The dragonsoul attacks twice with its shortsword.<br><br>Shortsword. Melee Weapon Attack: +7 to hit reach 5 ft. one target.<br>Hit: 6 (1d6 + 3) piercing damage plus 10 (3d6) damage of the type to which the dragonsoul has damage resistance. <br><br>Orb of Dragon's Breath (3/Day). Ranged Spell Attack: +7 to hit range 90 ft. one target.<br>Hit: 27 (6d8) damage of the type to which the dragonsoul has damage resistance.;;Dragon Fanatic. The dragonsoul has advantage on saving throws against being charmed or frightened. While the dragonsoul can see a dragon or higher ranking Cult of the Dragon cultist friendly to it the dragonsoul ignores the effect of being charmed or frightened.br><br>Fanatic Advantage. Once per turn If the dragonsoul makes a weapon attack with advantage on the attack roll and hits the target takes an extra 10 (3d6) damage.<br><br>Limited Flight. The dragonsoul can use a bonus action to gain a flying speed of 30 feet until the end of its turn.<br><br>Pack Tactics. The dragonsoul has advantage on an attack roll against a creature if at least one of the dragonsoul's allies is within 5 feet of the creature and the ally isn't incapacitated.
